date,retail_sales,cpi,real_retail_sales,yoy_growth_pct
2012-11-01,356158,231.249,154014.93628080556,2.2384211632905826
2012-12-01,357519,231.221,154622.20127064583,2.402906615174194
2013-01-01,360257,231.679,155498.34037612387,2.4980120928808303
2013-02-01,365227,232.937,156792.17985979043,2.185564615467883
2013-03-01,362148,232.282,155908.76606883013,1.4164033282657362
2013-04-01,360499,231.797,155523.58313524336,1.9209070290602925
2013-05-01,362842,231.893,156469.5786418736,2.5216772280121758
2013-06-01,364181,232.445,156674.05192626212,3.6772013656063196
2013-07-01,366243,232.9,157253.32760841562,3.6114388763568206
2013-08-01,365543,233.456,156578.96991296005,2.337025784286695
2013-09-01,365668,233.544,156573.493645737,2.011776449467484
2013-10-01,366444,233.669,156821.8291686103,2.3994420388574245
2013-11-01,366868,234.1,156714.2246903033,1.7526146974318646
2013-12-01,369499,234.719,157421.85336508762,1.8106404328970704
2014-01-01,366684,235.288,155844.75196355104,0.22277510267263434
2014-02-01,371335,235.547,157647.94287339682,0.5457944486591426
2014-03-01,375285,236.028,159000.2033657024,1.9828502109416002
2014-04-01,379432,236.468,160458.07466549386,3.1728252595360162
2014-05-01,379787,236.918,160303.1428595548,2.450038052735737
2014-06-01,380618,237.231,160441.93212522817,2.4049165465761746
2014-07-01,381045,237.498,160441.35108506176,2.027317020969366
2014-08-01,384017,237.46,161718.60523877706,3.2824557018570566
2014-09-01,382277,237.477,160974.32593472212,2.8107134780695597
2014-10-01,383323,237.43,161446.74219770037,2.949151309871212
2014-11-01,384459,236.983,162230.62413759637,3.520037481086691
2014-12-01,380682,236.252,161133.87399895026,2.3580084686551483
2015-01-01,378518,234.747,161245.08513420832,3.465200529768442
2015-02-01,377594,235.342,160444.79948330513,1.7741155126612673
2015-03-01,383681,235.976,162593.22981998167,2.25976217528181
2015-04-01,383893,236.222,162513.6524117144,1.2810684351696189
2015-05-01,387155,237.001,163355.85081919483,1.9043344410998753
2015-06-01,387199,237.657,162923.45691479737,1.5466809435031648
2015-07-01,390953,238.034,164242.5031718158,2.3691847899852014
2015-08-01,390570,238.033,164082.2911108964,1.461604166465169
2015-09-01,388551,237.498,163601.7987519895,1.6322309796985124
2015-10-01,387066,237.733,162815.427391233,0.8477626583858866
2015-11-01,388530,238.017,163236.23942827614,0.6198677321409107
2015-12-01,389551,237.761,163841.42058621894,1.6803087520171678
2016-01-01,387483,237.652,163046.3871543265,1.1171205737023904
2016-02-01,390029,237.336,164336.21532342333,2.4253923172643077
2016-03-01,388998,238.08,163389.61693548385,0.4898033678178981
2016-04-01,391112,238.992,163650.6661310839,0.6996419700721512
2016-05-01,392299,239.557,163760.19068530665,0.24752089630346585
2016-06-01,397113,240.222,165310.8374753353,1.4653387583019706
2016-07-01,396545,240.101,165157.57951861923,0.5571495375019664
2016-08-01,396293,240.545,164747.96815564658,0.4056970683693706
2016-09-01,398797,241.176,165355.17630278305,1.0717348856607467
2016-10-01,399637,241.741,165316.18550432072,1.535946656380771
2016-11-01,398680,242.026,164726.103807029,0.9127044239508386
2016-12-01,405114,242.637,166962.99410230096,1.905240753475601
2017-01-01,408269,243.618,167585.72847654935,2.784079672937656
2017-02-01,408155,244.006,167272.52608542412,1.7867703453082306
2017-03-01,407630,243.892,167135.45339740542,2.2925792545316126
2017-04-01,409134,244.193,167545.34323260697,2.3798724402401383
2017-05-01,406609,244.004,166640.3009786725,1.7587365288920909
2017-06-01,409067,244.163,167538.4886325938,1.3475530045577555
2017-07-01,409113,244.243,167502.4463341836,1.4197754789086137
2017-08-01,409606,245.183,167061.33785784495,1.4041870914078824
2017-09-01,419021,246.435,170033.0716010307,2.828998403824956
2017-10-01,418999,246.626,169892.46875836287,2.768200367121665
2017-11-01,423224,247.284,171148.96232671748,3.899113966304113
2017-12-01,425545,247.805,171725.75210346846,2.8525830090524673
2018-01-01,423202,248.859,170056.93987358303,1.474595372469012
2018-02-01,425507,249.529,170524.06734287395,1.9438585244951234
2018-03-01,425087,249.577,170322.98649314643,1.9071555621187564
2018-04-01,425899,250.227,170205.05381113949,1.5874571785859715
2018-05-01,432340,250.792,172389.86889533955,3.450286565074623
2018-06-01,430008,251.018,171305.6434199938,2.248530960346229
2018-07-01,432070,251.214,171992.80294888024,2.6807707666179015
2018-08-01,432031,251.663,171670.44817871516,2.758932964365557
2018-09-01,431438,252.182,171081.99633597958,0.6168945400281345
2018-10-01,435894,252.772,172445.52402956024,1.5027477614846907
2018-11-01,438612,252.594,173643.07940806195,1.4572785294387547
2018-12-01,428932,252.767,169694.61994643288,-1.1827766844263232
2019-01-01,430246,252.561,170353.3007867406,0.17427157831835238
2019-02-01,431194,253.319,170217.78863804135,-0.17961025068488068
2019-03-01,438196,254.277,172330.1753599421,1.178460352370836
2019-04-01,437735,255.233,171504.0766672021,0.7632105081345264
2019-05-01,442514,255.296,173333.6989220356,0.547497386443907
2019-06-01,442116,255.213,173234.12208625735,1.1257531437744106
2019-07-01,445304,255.802,174081.5161726648,1.2144189686851936
2019-08-01,448519,256.036,175178.09995469387,2.0432472875745677
2019-09-01,444555,256.43,173363.10104121984,1.333340008939632
2019-10-01,445627,257.155,173291.20569306452,0.49040511098410455
2019-11-01,449040,257.879,174128.17639280437,0.2793644217760294
2019-12-01,449643,258.63,173855.70119475698,2.4520996892168023
2020-01-01,447774,259.127,172800.98175797967,1.4368262663153386
2020-02-01,447972,259.25,172795.3712632594,1.5142851084143372
2020-03-01,420954,258.076,163112.41649746583,-5.348894262553472
2020-04-01,370296,256.032,144628.79640044997,-15.670344862357254
2020-05-01,437957,255.802,171209.3728743325,-1.2255701348983572
2020-06-01,465800,257.042,181215.52119887024,4.6072904209014665
2020-07-01,471873,258.352,182647.31838731654,4.92056962909011
2020-08-01,473696,259.316,182671.3353591757,4.277495535355036
2020-09-01,482702,259.997,185656.75757797205,7.0912763228832665
2020-10-01,480763,260.319,184682.25523300256,6.573356965450405
2020-11-01,478079,260.911,183234.51291819816,5.229674320399136
2020-12-01,485949,262.045,185444.8663397508,6.665967848826182
2021-01-01,501604,262.639,190986.1064046086,10.523739195011373
2021-02-01,488805,263.573,185453.36586069135,7.3254245787331085
2021-03-01,539607,264.847,203742.91572115224,24.909507256498564
2021-04-01,542199,266.625,203356.3994374121,40.60574691803176
2021-05-01,536589,268.404,199918.406581124,16.768377352718833
2021-06-01,540152,270.71,199531.6020834103,10.107346635302594
2021-07-01,528600,271.965,194363.24527053116,6.414508018327525
2021-08-01,532477,272.752,195223.86636944916,6.871647916512003
2021-09-01,536651,273.942,195899.49697381197,5.517030206421758
2021-10-01,545361,276.528,197217.27998611348,6.7873465901183705
2021-11-01,551082,278.824,197645.10945973085,7.8645645473820025
2021-12-01,547277,280.806,194895.05210002637,5.0959543646584615
2022-01-01,560257,282.542,198291.58142860178,3.8251342788864218
2022-02-01,563777,284.525,198146.73578771637,6.8445077112054165
2022-03-01,574485,287.467,199843.80815884954,-1.9137389628992585
2022-04-01,580943,288.582,201309.50648342585,-1.0065544824992
2022-05-01,579844,291.299,199054.5796587012,-0.43208973960697783
2022-06-01,585556,295.072,198445.12525756424,-0.5445136582383991
2022-07-01,579267,294.94,196401.6410117312,1.0487557657121949
2022-08-01,581196,295.162,196907.46098752553,0.8623918014666776
2022-09-01,579446,296.421,195480.7520384858,-0.21375498242455215
2022-10-01,585006,297.979,196324.57320817912,-0.45265139951083944
2022-11-01,576356,298.708,192949.63643424347,-2.3757091882124493
2022-12-01,569119,298.808,190463.10674413,-2.274016352976349
2023-01-01,591964,300.456,197021.86010597224,-0.6403304232493245
2023-02-01,586165,301.476,194431.72922554365,-1.8748764885800462
2023-03-01,578812,301.643,191886.43528939842,-3.981796055010145
2023-04-01,583874,302.858,192788.0392791341,-4.233017781002479
2023-05-01,586286,303.316,193292.14416647985,-2.894902243445807
2023-06-01,588670,304.099,193578.40703192053,-2.452425182693274
2023-07-01,589257,304.615,193443.19879191768,-1.506322556458084
2023-08-01,595191,306.138,194419.18350547794,-1.2636786181531412
2023-09-01,598956,307.374,194862.28503386752,-0.31638255847129537
2023-10-01,595517,307.653,193567.75328048156,-1.4042154187057787
2023-11-01,593567,308.087,192662.13764293853,-0.1490019865380332
2023-12-01,594256,308.735,192480.93024762336,1.0594301111575
2024-01-01,588944,309.794,190108.26549255312,-3.509049508364448
2024-02-01,593206,311.022,190727.98708773014,-1.9049062375601777
2024-03-01,595969,312.107,190950.21899540862,-0.48790123834330235
2024-04-01,595676,313.016,190302.093183735,-1.289471123153929
2024-05-01,600372,313.14,191726.38436482087,-0.8100483381830559
2024-06-01,599979,313.131,191606.38838058195,-1.0187182969293662
2024-07-01,605814,313.566,193201.4312776258,-0.12498113958090418
2024-08-01,603601,314.131,192149.45357191746,-1.1674413463918953
2024-09-01,608907,314.851,193395.28856506728,-0.7528375583532032
2024-10-01,612570,315.564,194119.10103814123,0.2848345079775605
2024-11-01,616833,316.449,194923.35257814053,1.1736685593059848
2024-12-01,622396,317.603,195966.662783412,1.8109495477314663
2025-01-01,615973,319.086,193042.94140137767,1.543686646775222
2025-02-01,616714,319.775,192858.72879368308,1.1171625824231368
2025-03-01,625121,319.615,195585.62645683088,2.427547601573443
2025-04-01,623521,320.321,194655.04915381758,2.2873925857871846
2025-05-01,618037,320.58,192787.13581633288,0.5532631593853088
2025-06-01,624146,321.5,194135.61430793157,1.3200112734894187
2025-07-01,628747,322.132,195183.03055890132,1.025664907434365
2025-08-01,632082,323.364,195470.73885775782,1.7284906223255403
2025-09-01,632541,324.368,195007.21402851085,0.8334874522557101
